match_id,innings,over,striker_id,propensity,phase,striker_batting_position
M0003,2,3,Batter_033,0.438420676269767,powerplay,1
M0003,2,3,Batter_033,0.417093345527616,powerplay,1
M0003,2,3,Batter_033,0.438420676269767,powerplay,1
M0003,2,4,Batter_030,0.172428939951047,powerplay,2
M0003,2,4,Batter_030,0.136565338169553,powerplay,2
M0003,2,4,Batter_033,0.394947531034838,powerplay,1
M0003,2,4,Batter_033,0.347960016079641,powerplay,1
M0003,2,4,Batter_033,0.347960016079641,powerplay,1
M0003,2,4,Batter_033,0.394947531034838,powerplay,1
M0004,1,0,Batter_003,0.823791127168079,powerplay,1
M0004,1,0,Batter_003,0.823791127168079,powerplay,1
M0004,1,0,Batter_003,0.823791127168079,powerplay,1
M0004,1,0,Batter_003,0.84725700630803,powerplay,1
M0004,1,0,Batter_003,0.823791127168079,powerplay,1
M0004,1,0,Batter_003,0.84725700630803,powerplay,1
M0004,1,1,Batter_003,0.69146782967637,powerplay,1
M0004,1,1,Batter_003,0.551972450311871,powerplay,1
M0004,1,1,Batter_003,0.551972450311871,powerplay,1
M0004,1,1,Batter_003,0.69146782967637,powerplay,1
M0004,1,2,Batter_003,0.66379661650846,powerplay,1
M0004,1,2,Batter_003,0.754749107600769,powerplay,1
M0004,1,2,Batter_003,0.754749107600769,powerplay,1
M0004,1,2,Batter_003,0.66379661650846,powerplay,1
M0004,1,2,Batter_003,0.66379661650846,powerplay,1
M0004,1,3,Batter_003,0.85320890450244,powerplay,1
M0004,1,3,Batter_003,0.861901683185439,powerplay,1
M0004,1,3,Batter_003,0.861901683185439,powerplay,1
M0004,1,3,Batter_003,0.85320890450244,powerplay,1
M0004,1,3,Batter_003,0.861901683185439,powerplay,1
M0004,1,3,Batter_003,0.85320890450244,powerplay,1
M0004,1,4,Batter_003,0.769235615476135,powerplay,1
M0004,1,4,Batter_003,0.676181015318005,powerplay,1
M0004,1,5,Batter_003,0.868656812721095,powerplay,1
M0004,1,5,Batter_003,0.866469357381028,powerplay,1
M0004,1,5,Batter_003,0.866469357381028,powerplay,1
M0004,1,5,Batter_003,0.868656812721095,powerplay,1
M0004,1,6,Batter_003,0.747832399939553,middle,1
M0004,1,7,Batter_003,0.832361248667782,middle,1
M0004,1,7,Batter_023,0.0392456517480453,middle,3
M0004,1,7,Batter_023,0.0643194418560556,middle,3
M0004,1,7,Batter_003,0.847637714325784,middle,1
